"","age","workclass","fnlwgt","education","educationnum","marital","occupation","relationship","race","sex","capgain","caploss","hoursperweek","nativecountry","incomebin"
"12161",25,"Private",66622,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,25,"United-States",0
"12162",20,"?",40060,"Some-college",10,"Never-married","?","Own-child","White","Male",0,0,56,"United-States",0
"12163",35,"Private",260578,"HS-grad",9,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States",1
"12167",53,"Private",49715,"HS-grad",9,"Divorced","Transport-moving","Unmarried","White","Male",0,0,40,"United-States",0
"12170",25,"Local-gov",335005,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,35,"Italy",0
"12180",24,"Private",117959,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",4386,0,40,"United-States",1
"12181",26,"Private",174921,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Female",0,0,40,"United-States",0
"12191",48,"Private",158924,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",1
"12193",33,"Self-emp-not-inc",33404,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,65,"United-States",1
"12196",27,"Private",110648,"Bachelors",13,"Never-married","Tech-support","Own-child","White","Male",0,0,40,"United-States",0
"12203",30,"Private",467108,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,44,"United-States",1
"12205",28,"Federal-gov",42003,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",1
"12207",49,"Self-emp-not-inc",199590,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"Mexico",0
"12218",57,"Private",217886,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,36,"United-States",0
"12223",34,"Self-emp-not-inc",288486,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"12227",57,"Self-emp-not-inc",123778,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States",0
"12229",40,"Private",190290,"Some-college",10,"Divorced","Sales","Not-in-family","White","Male",0,0,40,"United-States",0
"12243",46,"State-gov",20534,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,45,"United-States",0
"12250",36,"Local-gov",139703,"Masters",14,"Never-married","Prof-specialty","Not-in-family","Black","Female",0,0,40,"United-States",0
"12257",73,"Private",92298,"11th",7,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,15,"United-States",0
"12258",27,"Private",390657,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,40,"United-States",0
"12262",45,"Private",88781,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Germany",1
"12268",28,"Private",160731,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Poland",1
"12272",19,"Private",258470,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States",0
"12281",24,"Private",122234,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","Black","Female",0,0,20,"?",0
"12286",29,"Private",234447,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Black","Female",0,0,40,"United-States",0
"12294",46,"Self-emp-inc",123075,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,70,"United-States",0
"12302",48,"Private",265295,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",1
"12305",55,"Private",223594,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","Black","Male",7688,0,40,"Puerto-Rico",1
"12307",68,"Private",124686,"7th-8th",4,"Widowed","Machine-op-inspct","Not-in-family","White","Female",0,0,10,"United-States",0
"12308",45,"Private",50163,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Female",0,0,30,"United-States",0
"12311",22,"Private",166371,"Some-college",10,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States",0
"12315",26,"Local-gov",287233,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,0,40,"United-States",1
"12321",41,"Private",168730,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",1
"12324",30,"Federal-gov",356689,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,30,"Japan",0
"12330",22,"Private",112164,"Some-college",10,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"?",0
"12337",29,"Private",159788,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,80,"United-States",0
"12338",27,"Private",55743,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","Black","Female",0,0,45,"United-States",1
"12345",36,"Private",102945,"Assoc-voc",11,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",0
"12351",32,"Private",117779,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Female",0,0,35,"United-States",0
"12354",27,"Private",180758,"Assoc-acdm",12,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States",0
"12355",60,"Local-gov",141637,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",1
"12370",27,"Self-emp-not-inc",212041,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,50,"United-States",0
"12377",32,"Private",175856,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1902,40,"United-States",1
"12380",27,"Private",86681,"Bachelors",13,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States",0
"12381",19,"Private",187161,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,25,"United-States",0
"12394",41,"Private",57233,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,70,"United-States",0
"12406",18,"?",236090,"HS-grad",9,"Never-married","?","Own-child","White","Female",0,0,40,"United-States",0
"12407",52,"Self-emp-not-inc",89028,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States",0
"12415",42,"Private",318255,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States",0
"12416",22,"Private",347867,"HS-grad",9,"Married-spouse-absent","Sales","Not-in-family","White","Male",0,1719,40,"United-States",0
"12417",57,"Private",279636,"Assoc-voc",11,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",1
"12422",30,"Private",189620,"Some-college",10,"Divorced","Prof-specialty","Not-in-family","White","Female",6849,0,40,"England",0
"12425",32,"Private",390997,"1st-4th",2,"Never-married","Farming-fishing","Not-in-family","Other","Male",0,0,50,"Mexico",0
"12437",20,"Private",50648,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,35,"United-States",0
"12449",29,"Private",114982,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",1
"12453",35,"Self-emp-not-inc",202027,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,55,"United-States",1
"12454",20,"Private",281356,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","Other","Male",0,0,40,"United-States",0
"12459",60,"Private",140544,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States",0
"12460",28,"Private",221366,"Some-college",10,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States",0
"12470",27,"Private",256764,"Assoc-acdm",12,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States",0
"12477",57,"Private",103403,"5th-6th",3,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",0
"12482",44,"Private",190739,"HS-grad",9,"Never-married","Other-service","Other-relative","Black","Male",0,0,32,"United-States",0
"12485",27,"State-gov",106721,"HS-grad",9,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",0
"12495",32,"Private",148207,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"12510",36,"Private",193855,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"12516",42,"Private",222011,"Some-college",10,"Divorced","Sales","Unmarried","White","Female",0,0,43,"United-States",0
"12519",60,"Private",88055,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",3781,0,16,"United-States",0
"12528",48,"Private",167967,"HS-grad",9,"Separated","Machine-op-inspct","Unmarried","Black","Female",0,0,40,"United-States",0
"12531",39,"Private",192251,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States",1
"12537",35,"Private",45607,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Male",0,0,40,"United-States",0
"12539",42,"Self-emp-not-inc",104118,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States",0
"12544",43,"?",200508,"Bachelors",13,"Married-civ-spouse","?","Husband","White","Male",0,0,40,"United-States",0
"12545",43,"Local-gov",186995,"HS-grad",9,"Divorced","Protective-serv","Unmarried","White","Female",0,0,40,"United-States",0
"12547",39,"Private",113481,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",1
"12551",37,"Private",70282,"Assoc-acdm",12,"Never-married","Sales","Unmarried","Black","Female",0,0,40,"United-States",0
"12552",26,"Private",166051,"Bachelors",13,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States",0
"12555",33,"Private",236379,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States",0
"12556",46,"Private",122026,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,44,"United-States",1
"12568",41,"Private",116797,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",7298,0,50,"United-States",1
"12571",20,"Private",344278,"11th",7,"Separated","Other-service","Own-child","White","Female",0,0,40,"United-States",0
"12572",29,"Private",108574,"Assoc-voc",11,"Never-married","Priv-house-serv","Own-child","White","Female",0,0,40,"United-States",0
"12584",35,"Private",261241,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,1741,60,"United-States",0
"12600",49,"Private",176814,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",5178,0,40,"United-States",1
"12611",42,"Private",339346,"Masters",14,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,25,"United-States",0
"12617",49,"Private",232586,"5th-6th",3,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"12621",43,"State-gov",139734,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,40,"United-States",1
"12631",32,"Private",186788,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",0
"12642",29,"Private",185647,"Some-college",10,"Never-married","Tech-support","Own-child","White","Male",0,0,60,"United-States",0
"12645",39,"Federal-gov",193583,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",5455,0,60,"United-States",0
"12651",25,"Private",135603,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",1
"12655",40,"Private",235371,"Assoc-voc",11,"Divorced","Prof-specialty","Unmarried","White","Male",0,0,40,"United-States",0
"12676",22,"Private",154422,"Some-college",10,"Divorced","Sales","Own-child","Asian-Pac-Islander","Female",0,0,30,"Philippines",0
"12682",34,"Private",152453,"12th",8,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Guatemala",0
"12691",35,"Private",152734,"Some-college",10,"Married-civ-spouse","Protective-serv","Husband","Black","Male",0,0,40,"?",0
"12698",47,"Private",181652,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",0
"12699",26,"Private",120268,"Bachelors",13,"Never-married","Adm-clerical","Own-child","White","Male",0,0,24,"United-States",0
"12700",39,"Private",196308,"Some-college",10,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,24,"United-States",0
"12704",69,"Private",209236,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,36,"United-States",0
"12708",52,"Private",124591,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","White","Male",0,0,40,"United-States",0
"12711",21,"Private",232577,"Assoc-voc",11,"Never-married","Tech-support","Own-child","White","Female",0,0,30,"United-States",0
"12716",37,"Self-emp-not-inc",164526,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Male",14084,0,45,"United-States",1
"12726",39,"Private",191342,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"Philippines",1
"12739",29,"Private",334221,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,18,"United-States",0
"12748",30,"Private",280069,"Some-college",10,"Never-married","Sales","Not-in-family","White","Female",0,0,48,"United-States",0
"12753",42,"Private",144778,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States",0
"12763",65,"Private",194456,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"England",1
"12769",44,"Private",174189,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States",0
"12771",41,"Private",146908,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States",1
"12782",68,"Private",351711,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",0
"12785",18,"?",36348,"Some-college",10,"Never-married","?","Own-child","White","Male",0,0,48,"United-States",0
"12789",24,"State-gov",208826,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,99,"England",0
"12790",20,"Private",369677,"10th",6,"Separated","Sales","Not-in-family","White","Female",0,0,36,"United-States",0
"12792",44,"Private",239723,"Some-college",10,"Married-spouse-absent","Craft-repair","Unmarried","White","Female",1506,0,45,"United-States",0
"12798",51,"Self-emp-inc",189183,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",0
"12800",52,"Private",286342,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,38,"United-States",0
"12809",48,"Private",272778,"Some-college",10,"Divorced","Other-service","Unmarried","White","Female",0,0,32,"United-States",0
"12815",40,"Private",197462,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",1
"12821",32,"Private",207685,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Wife","Black","Female",3908,0,40,"United-States",0
"12822",50,"Private",222020,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"12827",19,"Private",209826,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,15,"United-States",0
"12831",81,"Private",201398,"Masters",14,"Widowed","Prof-specialty","Unmarried","White","Male",0,0,60,"?",0
"12842",52,"Private",159670,"Assoc-acdm",12,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",0
"12854",37,"?",148266,"Prof-school",15,"Married-civ-spouse","?","Husband","White","Male",0,0,6,"Mexico",0
"12856",28,"Private",132686,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"United-States",0
"12861",51,"Self-emp-not-inc",118259,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",3137,0,60,"United-States",0
"12869",46,"Federal-gov",55237,"Some-college",10,"Divorced","Machine-op-inspct","Unmarried","White","Male",0,0,40,"United-States",0
"12877",38,"Self-emp-inc",125324,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,80,"United-States",1
"12888",50,"Self-emp-not-inc",32372,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,30,"United-States",0
"12898",38,"Private",170861,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States",0
"12901",33,"Private",195576,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",4386,0,60,"United-States",0
"12904",50,"Private",209320,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",1
"12909",65,"?",299494,"11th",7,"Married-civ-spouse","?","Husband","White","Male",1797,0,40,"United-States",0
"12924",35,"Private",194490,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,"United-States",0
"12927",25,"Private",143280,"10th",6,"Never-married","Priv-house-serv","Own-child","White","Female",0,0,24,"United-States",0
"12931",51,"Private",115025,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"12939",65,"Private",80174,"HS-grad",9,"Divorced","Exec-managerial","Other-relative","White","Female",1848,0,50,"United-States",0
"12942",18,"Private",123856,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,49,"United-States",0
"12944",52,"Private",180062,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States",0
"12948",25,"Private",283087,"Some-college",10,"Never-married","Exec-managerial","Own-child","Black","Male",0,0,40,"United-States",0
"12956",45,"Private",97842,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,65,"United-States",0
"12957",18,"Private",100875,"11th",7,"Never-married","Other-service","Unmarried","White","Female",0,0,28,"United-States",0
"12959",36,"Private",355053,"HS-grad",9,"Separated","Other-service","Unmarried","Black","Female",0,0,28,"United-States",0
"12964",21,"Private",170108,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States",0
"12965",46,"State-gov",27243,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,45,"United-States",1
"12984",27,"Private",134890,"Bachelors",13,"Never-married","Tech-support","Own-child","White","Male",0,0,50,"United-States",0
"13003",26,"Private",38232,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,50,"United-States",0
"13004",64,"State-gov",277657,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,24,"United-States",0
"13010",50,"Private",165050,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",1
"13015",28,"Private",176137,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,32,"United-States",0
"13029",56,"Private",98418,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,30,"United-States",0
"13033",32,"Private",127895,"Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Female",0,0,40,"United-States",0
"13039",58,"Private",214502,"9th",5,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,50,"United-States",1
"13060",24,"Private",385540,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"Mexico",0
"13063",21,"Private",182117,"Bachelors",13,"Never-married","Other-service","Other-relative","White","Male",0,0,20,"United-States",0
"13067",47,"Federal-gov",211123,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"13069",61,"Private",162391,"7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,1651,40,"United-States",0
"13073",18,"Private",87157,"12th",8,"Never-married","Other-service","Own-child","White","Male",0,0,25,"United-States",0
"13078",57,"Private",134195,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",0
"13089",25,"Private",250038,"Assoc-voc",11,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"?",0
"13090",30,"Self-emp-not-inc",226535,"7th-8th",4,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"Mexico",0
"13100",47,"Private",109089,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,70,"United-States",0
"13102",77,"Private",142646,"7th-8th",4,"Widowed","Priv-house-serv","Unmarried","White","Female",0,0,23,"United-States",0
"13108",67,"Local-gov",103315,"Masters",14,"Never-married","Exec-managerial","Other-relative","White","Female",15831,0,72,"United-States",1
"13109",37,"Local-gov",52465,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,0,40,"United-States",0
"13111",22,"?",195143,"Some-college",10,"Never-married","?","Own-child","White","Female",0,0,29,"United-States",0
"13116",43,"Private",168412,"HS-grad",9,"Married-civ-spouse","Sales","Other-relative","White","Female",0,0,44,"Poland",0
"13117",48,"Private",174386,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"El-Salvador",1
"13120",37,"Private",468713,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",0
"13121",51,"Private",169112,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",1
"13122",52,"Private",74024,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",1
"13124",43,"Local-gov",33331,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",1
"13134",63,"Private",38352,"HS-grad",9,"Widowed","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States",0
"13142",28,"Self-emp-not-inc",107236,"12th",8,"Married-civ-spouse","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",0
"13144",28,"Private",154863,"Bachelors",13,"Never-married","Adm-clerical","Own-child","Black","Male",0,0,35,"United-States",0
"13145",37,"Private",194004,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,25,"United-States",0
"13158",44,"Private",42476,"HS-grad",9,"Never-married","Adm-clerical","Other-relative","White","Female",0,0,30,"United-States",0
"13160",35,"Private",70447,"Some-college",10,"Never-married","Prof-specialty","Unmarried","Asian-Pac-Islander","Male",4650,0,20,"United-States",0
"13165",39,"Private",154641,"Assoc-voc",11,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",0
"13168",34,"Private",56150,"11th",7,"Never-married","Transport-moving","Unmarried","White","Male",0,0,40,"United-States",0
"13185",31,"Private",159737,"HS-grad",9,"Never-married","Sales","Unmarried","Black","Female",0,0,58,"United-States",0
"13197",23,"Private",185554,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Female",0,0,40,"United-States",0
"13198",41,"Private",350387,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States",1
"13208",54,"Private",391016,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",1
"13219",36,"Private",111377,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"13224",28,"Private",155621,"5th-6th",3,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"Columbia",0
"13225",46,"Private",102597,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,40,"United-States",0
"13226",22,"Private",60331,"Some-college",10,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,35,"United-States",0
"13228",69,"Private",174474,"10th",6,"Separated","Machine-op-inspct","Not-in-family","White","Female",0,0,28,"Peru",0
"13251",24,"Private",233419,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States",0
"13253",38,"Private",192337,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,40,"United-States",1
"13255",29,"Private",369114,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",0
"13261",33,"Self-emp-not-inc",334744,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States",1
"13271",41,"Private",101593,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,50,"United-States",1
"13277",22,"Private",212114,"Bachelors",13,"Never-married","Handlers-cleaners","Own-child","White","Female",0,0,15,"United-States",0
"13288",34,"Self-emp-not-inc",108247,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States",1
"13293",32,"Private",252752,"Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Female",13550,0,60,"United-States",1
"13307",23,"Private",233626,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,25,"United-States",0
"13317",37,"Private",191137,"Assoc-acdm",12,"Divorced","Prof-specialty","Unmarried","White","Male",0,0,25,"United-States",0
"13320",28,"Private",221215,"10th",6,"Never-married","Handlers-cleaners","Other-relative","White","Male",0,0,40,"Mexico",0
"13324",18,"Private",194897,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","Amer-Indian-Eskimo","Male",0,0,40,"United-States",0
"13327",51,"Private",122109,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"United-States",0
"13328",49,"Private",75673,"HS-grad",9,"Never-married","Adm-clerical","Own-child","Asian-Pac-Islander","Female",0,0,40,"United-States",0
"13330",41,"Private",47902,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,35,"United-States",1
"13336",38,"Private",76878,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",5178,0,40,"United-States",1
"13340",23,"Local-gov",55890,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States",0
"13348",38,"?",177273,"HS-grad",9,"Married-civ-spouse","?","Wife","White","Female",0,0,35,"United-States",0
"13349",34,"Local-gov",226443,"Some-college",10,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States",1
"13360",38,"Private",170174,"10th",6,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",1
"13363",40,"Private",375603,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","Black","Male",0,0,40,"United-States",0
"13371",38,"?",70282,"Masters",14,"Married-civ-spouse","?","Wife","Black","Female",15024,0,2,"United-States",1
"13378",42,"Private",259757,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Male",0,653,50,"United-States",1
"13379",37,"Local-gov",89491,"Masters",14,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States",0
"13394",23,"Federal-gov",314525,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States",0
"13399",50,"Private",173754,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"13400",46,"Local-gov",121370,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,30,"United-States",0
"13403",27,"Private",198346,"Bachelors",13,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,35,"United-States",0
"13411",25,"Private",203871,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1887,40,"United-States",1
"13413",36,"Private",112264,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"United-States",0
"13425",38,"Private",226106,"Some-college",10,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States",0
"13426",75,"Self-emp-not-inc",92792,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,35,"United-States",0
"13431",49,"Private",33673,"12th",8,"Never-married","Transport-moving","Not-in-family","Asian-Pac-Islander","Male",0,0,35,"United-States",0
"13436",18,"Private",126021,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Female",0,0,20,"United-States",0
"13449",60,"Private",103344,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",15024,0,40,"United-States",1
"13454",25,"Private",172581,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States",0
"13464",42,"Self-emp-not-inc",336513,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",15024,0,60,"United-States",1
